Year,Origin,Destination,Number,LongOrigin,LatOrigin,LongDest,LatDest
2020,Afghanistan,Afghanistan,144098,67.709953,33.93911,67.709953,33.93911
2020,Afghanistan,Albania,0,67.709953,33.93911,20.168331,41.153332
2020,Afghanistan,Algeria,0,67.709953,33.93911,1.659626,28.033886
2020,Afghanistan,American Samoa,0,67.709953,33.93911,-170.132217,-14.270972
2020,Afghanistan,Andorra,0,67.709953,33.93911,1.601554,42.546245
2020,Afghanistan,Angola,0,67.709953,33.93911,17.873887,-11.202692
2020,Afghanistan,Anguilla,0,67.709953,33.93911,-63.068615,18.220554
2020,Afghanistan,Antigua and Barbuda,0,67.709953,33.93911,-61.796428,17.060816
2020,Afghanistan,Argentina,9,67.709953,33.93911,-63.616672,-38.416097
2020,Afghanistan,Armenia,0,67.709953,33.93911,45.038189,40.069099
2020,Afghanistan,Aruba,0,67.709953,33.93911,-69.968338,12.52111
2020,Afghanistan,Australia,60879,67.709953,33.93911,133.775136,-25.274398
2020,Afghanistan,Austria,47602,67.709953,33.93911,14.550072,47.516231
2020,Afghanistan,Azerbaijan,176,67.709953,33.93911,47.576927,40.143105
2020,Afghanistan,Bahamas,0,67.709953,33.93911,-77.39628,25.03428
2020,Afghanistan,Bahrain,860,67.709953,33.93911,50.637772,25.930414
2020,Afghanistan,Bangladesh,0,67.709953,33.93911,90.356331,23.684994
2020,Afghanistan,Barbados,0,67.709953,33.93911,-59.543198,13.193887
2020,Afghanistan,Belarus,277,67.709953,33.93911,27.953389,53.709807
2020,Afghanistan,Belgium,24670,67.709953,33.93911,4.469936,50.503887
2020,Afghanistan,Belize,0,67.709953,33.93911,-88.49765,17.189877
2020,Afghanistan,Benin,0,67.709953,33.93911,2.315834,9.30769
2020,Afghanistan,Bermuda,0,67.709953,33.93911,-64.75737,32.321384
2020,Afghanistan,Bhutan,0,67.709953,33.93911,90.433601,27.514162
2020,Afghanistan,Bolivia,1,67.709953,33.93911,-63.588653,-16.290154
2020,Afghanistan,Bonaire Sint Eustatius and Saba,0,67.709953,33.93911,#N/A,#N/A
2020,Afghanistan,Bosnia and Herzegovina,0,67.709953,33.93911,17.679076,43.915886
2020,Afghanistan,Botswana,0,67.709953,33.93911,24.684866,-22.328474
2020,Afghanistan,Brazil,73,67.709953,33.93911,-51.92528,-14.235004
2020,Afghanistan,British Virgin Islands,0,67.709953,33.93911,-64.639968,18.420695
2020,Afghanistan,Brunei,0,67.709953,33.93911,114.727669,4.535277
2020,Afghanistan,Bulgaria,426,67.709953,33.93911,25.48583,42.733883
2020,Afghanistan,Burkina Faso,0,67.709953,33.93911,-1.561593,12.238333
2020,Afghanistan,Burundi,0,67.709953,33.93911,29.918886,-3.373056
2020,Afghanistan,Cambodia,0,67.709953,33.93911,104.990963,12.565679
2020,Afghanistan,Cameroon,0,67.709953,33.93911,12.354722,7.369722
2020,Afghanistan,Canada,55954,67.709953,33.93911,-106.346771,56.130366
2020,Afghanistan,Cape Verde,0,67.709953,33.93911,-24.013197,16.002082
2020,Afghanistan,Caribbean,0,67.709953,33.93911,#N/A,#N/A
2020,Afghanistan,Cayman Islands,0,67.709953,33.93911,-80.566956,19.513469
2020,Afghanistan,Central African Republic,0,67.709953,33.93911,20.939444,6.611111
2020,Afghanistan,Chad,0,67.709953,33.93911,18.732207,15.454166
2020,Afghanistan,Channel Islands,0,67.709953,33.93911,#N/A,#N/A
2020,Afghanistan,Chile,0,67.709953,33.93911,-71.542969,-35.675147
2020,Afghanistan,China,0,67.709953,33.93911,104.195397,35.86166
2020,Afghanistan,Colombia,0,67.709953,33.93911,-74.297333,4.570868
2020,Afghanistan,Comoros,0,67.709953,33.93911,43.872219,-11.875001
2020,Afghanistan,Congo,0,67.709953,33.93911,21.758664,-4.038333
2020,Afghanistan,Cook Islands,0,67.709953,33.93911,-159.777671,-21.236736
2020,Afghanistan,Costa Rica,4,67.709953,33.93911,-83.753428,9.748917
2020,Afghanistan,Cote d'Ivoire,0,67.709953,33.93911,-5.54708,7.539989
2020,Afghanistan,Croatia,0,67.709953,33.93911,15.2,45.1
2020,Afghanistan,Cuba,0,67.709953,33.93911,-77.781167,21.521757
2020,Afghanistan,Curacao,0,67.709953,33.93911,#N/A,#N/A
2020,Afghanistan,Cyprus,6,67.709953,33.93911,33.429859,35.126413
2020,Afghanistan,Czechia,484,67.709953,33.93911,15.472962,49.817492
2020,Afghanistan,Democratic Republic of Congo,0,67.709953,33.93911,15.827659,-0.228021
2020,Afghanistan,Denmark,13715,67.709953,33.93911,9.501785,56.26392
2020,Afghanistan,Djibouti,0,67.709953,33.93911,42.590275,11.825138
2020,Afghanistan,Dominica,0,67.709953,33.93911,-61.370976,15.414999
2020,Afghanistan,Dominican Republic,0,67.709953,33.93911,-70.162651,18.735693
2020,Afghanistan,Ecuador,167,67.709953,33.93911,-78.183406,-1.831239
2020,Afghanistan,Egypt,210,67.709953,33.93911,30.802498,26.820553
2020,Afghanistan,El Salvador,0,67.709953,33.93911,-88.89653,13.794185
2020,Afghanistan,Equatorial Guinea,0,67.709953,33.93911,10.267895,1.650801
2020,Afghanistan,Eritrea,0,67.709953,33.93911,39.782334,15.179384
2020,Afghanistan,Estonia,65,67.709953,33.93911,25.013607,58.595272
2020,Afghanistan,Eswatini,0,67.709953,33.93911,#N/A,#N/A
2020,Afghanistan,Ethiopia,0,67.709953,33.93911,40.489673,9.145
2020,Afghanistan,Faeroe Islands,0,67.709953,33.93911,-6.911806,61.892635
2020,Afghanistan,Falkland Islands,0,67.709953,33.93911,-59.523613,-51.796253
2020,Afghanistan,Fiji,0,67.709953,33.93911,179.414413,-16.578193
2020,Afghanistan,Finland,7019,67.709953,33.93911,25.748151,61.92411
2020,Afghanistan,France,35348,67.709953,33.93911,2.213749,46.227638
2020,Afghanistan,French Guiana,0,67.709953,33.93911,-53.125782,3.933889
2020,Afghanistan,French Polynesia,0,67.709953,33.93911,-149.406843,-17.679742
2020,Afghanistan,Gabon,0,67.709953,33.93911,11.609444,-0.803689
2020,Afghanistan,Gambia,0,67.709953,33.93911,-15.310139,13.443182
2020,Afghanistan,Georgia,40,67.709953,33.93911,43.356892,42.315407
2020,Afghanistan,Germany,250444,67.709953,33.93911,10.451526,51.165691
2020,Afghanistan,Ghana,0,67.709953,33.93911,-1.023194,7.946527
2020,Afghanistan,Gibraltar,0,67.709953,33.93911,-5.345374,36.137741
2020,Afghanistan,Greece,45293,67.709953,33.93911,21.824312,39.074208
2020,Afghanistan,Greenland,0,67.709953,33.93911,-42.604303,71.706936
2020,Afghanistan,Grenada,0,67.709953,33.93911,-61.604171,12.262776
2020,Afghanistan,Guadeloupe,0,67.709953,33.93911,-62.067641,16.995971
2020,Afghanistan,Guam,0,67.709953,33.93911,144.793731,13.444304
2020,Afghanistan,Guatemala,0,67.709953,33.93911,-90.230759,15.783471
2020,Afghanistan,Guinea,1,67.709953,33.93911,-9.696645,9.945587
2020,Afghanistan,Guinea-Bissau,0,67.709953,33.93911,-15.180413,11.803749
2020,Afghanistan,Guyana,0,67.709953,33.93911,-58.93018,4.860416
2020,Afghanistan,Haiti,0,67.709953,33.93911,-72.285215,18.971187
2020,Afghanistan,Honduras,0,67.709953,33.93911,-86.241905,15.199999
2020,Afghanistan,Hong Kong,0,67.709953,33.93911,114.109497,22.396428
2020,Afghanistan,Hungary,1816,67.709953,33.93911,19.503304,47.162494
2020,Afghanistan,Iceland,108,67.709953,33.93911,-19.020835,64.963051
2020,Afghanistan,India,16094,67.709953,33.93911,78.96288,20.593684
2020,Afghanistan,Indonesia,0,67.709953,33.93911,113.921327,-0.789275
2020,Afghanistan,Iran,2710601,67.709953,33.93911,53.688046,32.427908
2020,Afghanistan,Iraq,314,67.709953,33.93911,43.679291,33.223191
2020,Afghanistan,Ireland,168,67.709953,33.93911,-8.24389,53.41291
2020,Afghanistan,Isle of Man,0,67.709953,33.93911,-4.548056,54.236107
2020,Afghanistan,Israel,2464,67.709953,33.93911,34.851612,31.046051
2020,Afghanistan,Italy,18689,67.709953,33.93911,12.56738,41.87194
2020,Afghanistan,Jamaica,0,67.709953,33.93911,-77.297508,18.109581
2020,Afghanistan,Japan,0,67.709953,33.93911,138.252924,36.204824
2020,Afghanistan,Jordan,61,67.709953,33.93911,36.238414,30.585164
2020,Afghanistan,Kazakhstan,0,67.709953,33.93911,66.923684,48.019573
2020,Afghanistan,Kenya,0,67.709953,33.93911,37.906193,-0.023559
2020,Afghanistan,Kiribati,0,67.709953,33.93911,-168.734039,-3.370417
2020,Afghanistan,Kuwait,2896,67.709953,33.93911,47.481766,29.31166
2020,Afghanistan,Kyrgyzstan,0,67.709953,33.93911,74.766098,41.20438
2020,Afghanistan,Laos,0,67.709953,33.93911,102.495496,19.85627
2020,Afghanistan,Latvia,46,67.709953,33.93911,24.603189,56.879635
2020,Afghanistan,Lebanon,0,67.709953,33.93911,35.862285,33.854721
2020,Afghanistan,Lesotho,0,67.709953,33.93911,28.233608,-29.609988
2020,Afghanistan,Liberia,0,67.709953,33.93911,-9.429499,6.428055
2020,Afghanistan,Libya,340,67.709953,33.93911,17.228331,26.3351
2020,Afghanistan,Liechtenstein,6,67.709953,33.93911,9.555373,47.166
2020,Afghanistan,Lithuania,41,67.709953,33.93911,23.881275,55.169438
2020,Afghanistan,Luxembourg,433,67.709953,33.93911,6.129583,49.815273
2020,Afghanistan,Macao,0,67.709953,33.93911,#N/A,#N/A
2020,Afghanistan,Madagascar,0,67.709953,33.93911,46.869107,-18.766947
2020,Afghanistan,Malawi,0,67.709953,33.93911,34.301525,-13.254308
2020,Afghanistan,Malaysia,2478,67.709953,33.93911,101.975766,4.210484
2020,Afghanistan,Maldives,0,67.709953,33.93911,73.22068,3.202778
2020,Afghanistan,Mali,553,67.709953,33.93911,-3.996166,17.570692
