Country,Country Code,year,GDP_USD,GDP_per_capita_USD
Australia,AUS,1990,3.11327E+11,18243.47142
China,CHN,1990,3.60858E+11,317.884673
United Kingdom,GBR,1990,1.09317E+12,19095.467
Luxembourg,LUX,1990,12778792854,33465.47821
Singapore,SGP,1990,36144336769,11861.75616
United States,USA,1990,5.96314E+12,23888.60001
Australia,AUS,1991,3.25903E+11,18855.762
China,CHN,1991,3.83373E+11,333.1421454
United Kingdom,GBR,1991,1.1428E+12,19900.72665
Luxembourg,LUX,1991,13834219728,35747.3378
Singapore,SGP,1991,45466164978,14502.37999
United States,USA,1991,6.15813E+12,24342.2589
Australia,AUS,1992,3.2548E+11,18604.18827
China,CHN,1992,4.26916E+11,366.4606923
United Kingdom,GBR,1992,1.17966E+12,20487.17079
Luxembourg,LUX,1992,15518702635,39570.86157
Singapore,SGP,1992,52130263966,16135.91365
United States,USA,1992,6.52033E+12,25418.99078
Australia,AUS,1993,3.12126E+11,17667.1871
China,CHN,1993,4.44731E+11,377.3898395
United Kingdom,GBR,1993,1.06139E+12,18389.01957
Luxembourg,LUX,1993,15925521222,40066.72425
Singapore,SGP,1993,60603478153,18290.02824
United States,USA,1993,6.85856E+12,26387.29373
Australia,AUS,1994,3.22807E+11,18079.38018
China,CHN,1994,5.64325E+11,473.4922787
United Kingdom,GBR,1994,1.14049E+12,19709.2381
Luxembourg,LUX,1994,17701798891,43933.23544
Singapore,SGP,1994,73690847191,21553.0309
United States,USA,1994,7.28724E+12,27694.85342
Australia,AUS,1995,3.67916E+11,20358.33336
China,CHN,1995,7.34548E+11,609.6566792
United Kingdom,GBR,1995,1.34642E+12,23206.56856
Luxembourg,LUX,1995,20853093870,51032.34964
Singapore,SGP,1995,87810991957,24914.41126
United States,USA,1995,7.63975E+12,28690.8757
Australia,AUS,1996,4.0109E+11,21904.29412
China,CHN,1996,8.63747E+11,709.4137551
United Kingdom,GBR,1996,1.42151E+12,24438.53117
Luxembourg,LUX,1996,20895314658,50444.35912
Singapore,SGP,1996,96295886525,26233.6289
United States,USA,1996,8.07312E+12,29967.71272
Australia,AUS,1997,4.35324E+11,23509.42347
China,CHN,1997,9.61604E+11,781.7441643
United Kingdom,GBR,1997,1.55957E+12,26742.98485
Luxembourg,LUX,1997,19563836265,46641.64088
Singapore,SGP,1997,1.00124E+11,26375.97195
United States,USA,1997,8.57755E+12,31459.13898
Australia,AUS,1998,3.99404E+11,21345.97099
China,CHN,1998,1.02904E+12,828.5804793
United Kingdom,GBR,1998,1.65339E+12,28269.32251
Luxembourg,LUX,1998,20150053345,47445.38108
Singapore,SGP,1998,85728310229,21829.29987
United States,USA,1998,9.06282E+12,32853.67695
Australia,AUS,1999,3.89099E+11,20558.9604
China,CHN,1999,1.094E+12,873.2870617
United Kingdom,GBR,1999,1.68576E+12,28726.85721
Luxembourg,LUX,1999,21899317599,50872.44927
Singapore,SGP,1999,86284660767,21796.08444
United States,USA,1999,9.63117E+12,34515.39023
Australia,AUS,2000,4.15576E+11,21697.70848
China,CHN,2000,1.21135E+12,959.3724836
United Kingdom,GBR,2000,1.66213E+12,28223.06757
Luxembourg,LUX,2000,21230182989,48659.59888
Singapore,SGP,2000,96074477958,23852.32703
United States,USA,2000,1.02509E+13,36329.95607
Australia,AUS,2001,3.79084E+11,19527.32358
China,CHN,2001,1.3394E+12,1053.108243
United Kingdom,GBR,2001,1.64391E+12,27806.44882
Luxembourg,LUX,2001,21387533703,48440.14202
Singapore,SGP,2001,89794943350,21700.02005
United States,USA,2001,1.05819E+13,37133.62311
Australia,AUS,2002,3.95343E+11,20117.78889
China,CHN,2002,1.47055E+12,1148.50829
United Kingdom,GBR,2002,1.78408E+12,30049.89632
Luxembourg,LUX,2002,23649833332,53005.73392
Singapore,SGP,2002,92537752709,22159.68886
United States,USA,2002,1.09291E+13,37997.75966
Australia,AUS,2003,4.67391E+11,23492.40517
China,CHN,2003,1.66029E+12,1288.643252
United Kingdom,GBR,2003,2.05709E+12,34487.46757
Luxembourg,LUX,2003,29667268248,65689.32145
Singapore,SGP,2003,97645448284,23730.15245
United States,USA,2003,1.14564E+13,39490.27496
Australia,AUS,2004,6.14166E+11,30513.94174
China,CHN,2004,1.95535E+12,1508.668098
United Kingdom,GBR,2004,2.42181E+12,40371.71083
Luxembourg,LUX,2004,35064843793,76544.91709
Singapore,SGP,2004,1.15035E+11,27608.53737
United States,USA,2004,1.22172E+13,41724.63163
Australia,AUS,2005,6.95075E+11,34080.9999
China,CHN,2005,2.28597E+12,1753.417829
United Kingdom,GBR,2005,2.54483E+12,42132.09072
Luxembourg,LUX,2005,37672280120,80988.13762
Singapore,SGP,2005,1.27808E+11,29961.26328
United States,USA,2005,1.30392E+13,44123.40707
Australia,AUS,2006,7.47556E+11,36117.48798
China,CHN,2006,2.75213E+12,2099.229435
United Kingdom,GBR,2006,2.71706E+12,44654.09692
Luxembourg,LUX,2006,42910146296,90788.80049
Singapore,SGP,2006,1.4863E+11,33769.15416
United States,USA,2006,1.38156E+13,46302.00088
